id	name	formula	inchi	solubility	vendor	vendor_id	hmdb_id	chebi_id	lipidmaps_id	cas_id	pubchem_id	lot_num	location	purchase_date	Average Molecular weight (g/mol)	Exact mass	m/z_Neg mode	m/z_Pos Mode	Adducts Na	Adducts NH4	Class	Retention time	Date of Prep	Protocol ID	Comments	Sample weight for stock (mg) 
267	GLYCINE	C2H5NO2		Methano/water	IROA	MSMLS_1D1					750															
276	XANTHINE	C5H4N4O2		Methano/water	IROA	MSMLS_1D10					1188															
277	DIHYDROFOLATE	C19H21N7O6		Methano/water	IROA	MSMLS_1D11					98792															
278	L-CYSTINE	C6H12N2O4S2		Methano/water	IROA	MSMLS_1D12					67678															
268	L-METHIONINE	C5H11NO2S		Methano/water	IROA	MSMLS_1D2					6137															
269	TETRAHYDROFOLATE	C19H23N7O6		Methano/water	IROA	MSMLS_1D3					91443															
270	ADENINE	C5H5N5		Methano/water	IROA	MSMLS_1D4					190															
271	5'-METHYLTHIOADENOSINE	C11H15N5O3S		Methano/water	IROA	MSMLS_1D5					439176															
272	THYMIDINE	C10H14N2O5		Methano/water	IROA	MSMLS_1D6					5789															
273	GLYCERATE	C3H6O4		Methano/water	IROA	MSMLS_1D7					439194															
274	OROTATE	C5H4N2O4		Methano/water	IROA	MSMLS_1D8					967															
275	ETHANOLAMINE PHOSPHATE	C2H8NO4P		Methano/water	IROA	MSMLS_1D9					1015															
279	L-ALANINE	C3H7NO2		Methano/water	IROA	MSMLS_1E1					5950															
288	CARNOSINE	C9H14N4O3		Methano/water	IROA	MSMLS_1E10					439224															
289	NICOTINAMIDE	C6H6N2O		Methano/water	IROA	MSMLS_1E11					936															
290	SHIKIMATE	C7H10O5		Methano/water	IROA	MSMLS_1E12					8742															
280	L-TRYPTOPHAN	C11H12N2O2		Methano/water	IROA	MSMLS_1E2					6305															
281	URIDINE-5-MONOPHOSPHATE	C9H13N2O9P		Methano/water	IROA	MSMLS_1E3					6030															
282	L-PROLINE	C5H9NO2		Methano/water	IROA	MSMLS_1E4					145742															
283	THYMINE	C5H6N2O2		Methano/water	IROA	MSMLS_1E5					1135															
284	SUCCINATE SEMIALDEHYDE	C4H6O3		Methano/water	IROA	MSMLS_1E6					1112															
285	(S)-LACTATE	C3H6O3		Methano/water	IROA	MSMLS_1E7					107689															
286	URIDINE	C9H12N2O6		Methano/water	IROA	MSMLS_1E8					6029															
287	FRUCTOSE 1,6-BIPHOSPHATE	C6H14O12P2		Methano/water	IROA	MSMLS_1E9					172313															
291	SUCCINATE	C4H6O4		Methano/water	IROA	MSMLS_1F1					1110															
300	GUANOSINE	C10H13N5O5		Methano/water	IROA	MSMLS_1F10					6802															
301	5,6-DIHYDROURACIL	C4H6N2O2		Methano/water	IROA	MSMLS_1F11					649															
302	(R)-MALATE	C4H6O5		Methano/water	IROA	MSMLS_1F12					92824															
292	L-PHENYLALANINE	C9H11NO2		Methano/water	IROA	MSMLS_1F2					6140															
293	URACIL	C4H4N2O2		Methano/water	IROA	MSMLS_1F3					1174															
294	(S)-MALATE	C4H6O5		Methano/water	IROA	MSMLS_1F4					222656															
295	L-ASPARTATE	C4H7NO4		Methano/water	IROA	MSMLS_1F5					5960															
296	2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE	C9H14N3O7P		Methano/water	IROA	MSMLS_1F6					13945															
297	HYPOXANTHINE	C5H4N4O		Methano/water	IROA	MSMLS_1F7					790															
298	CREATINE	C4H9N3O2		Methano/water	IROA	MSMLS_1F8					586															
299	3,4-DIHYDROXY-L-PHENYLALANINE	C9H11NO4		Methano/water	IROA	MSMLS_1F9					6047															
303	L-LYSINE	C6H14N2O2		Methano/water	IROA	MSMLS_1G1					5962															
312	(R,R)-TARTARIC ACID	C4H6O6		Methano/water	IROA	MSMLS_1G10					444305															
313	NICOTINAMIDE MONONUCLEOTIDE	C11H15N2O8P		Methano/water	IROA	MSMLS_1G11					14180															
314	FOLIC ACID	C19H19N7O6		Methano/water	IROA	MSMLS_1G12					6037															
304	L-TYROSINE	C9H11NO3		Methano/water	IROA	MSMLS_1G2					6057															
305	GLYCEROL	C3H8O3		Methano/water	IROA	MSMLS_1G3					753															
306	L-ASPARAGINE	C4H8N2O3		Methano/water	IROA	MSMLS_1G4					6267															
307	L-VALINE	C5H11NO2		Methano/water	IROA	MSMLS_1G5					6287															
308	GUANINE	C5H5N5O		Methano/water	IROA	MSMLS_1G6					764															
309	HOMOSERINE	C4H9NO3		Methano/water	IROA	MSMLS_1G7					12647															
310	PYRIDOXINE	C8H11NO3		Methano/water	IROA	MSMLS_1G8					1054															
311	DAMP	C10H14N5O6P		Methano/water	IROA	MSMLS_1G9					12599															
315	ISOCITRIC ACID	C6H8O7		Methano/water	IROA	MSMLS_1H1					1198															
324	TRANS-ACONITATE	C6H6O6		Methano/water	IROA	MSMLS_1H10					444212															
